# Spectrum of hd97658 (muscles) at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
2.5892797e+01	2.1203843e-01 
2.5992797e+01	2.1203843e-01 
2.6092797e+01	2.1203843e-01 
2.6192797e+01	2.1203843e-01 
2.6292797e+01	2.1203843e-01 
2.6392797e+01	2.1203843e-01 
2.6492797e+01	2.1203843e-01 
2.6592797e+01	2.1203843e-01 
2.6692797e+01	2.1203843e-01 
2.6792797e+01	2.1203843e-01 
2.6892797e+01	2.1203843e-01 
2.6992797e+01	2.1203843e-01 
2.7092797e+01	2.1203843e-01 
2.7192797e+01	2.1203843e-01 
2.7292797e+01	2.1203843e-01 
2.7392797e+01	2.1203843e-01 
2.7492797e+01	2.1203843e-01 
2.7592797e+01	2.1203843e-01 
2.7692797e+01	2.1203843e-01 
2.7792797e+01	2.1203843e-01 
2.7892797e+01	2.1203843e-01 
2.7992797e+01	2.1203843e-01 
2.8092797e+01	2.1203843e-01 
2.8192797e+01	2.1203843e-01 
2.8292797e+01	2.1203843e-01 
2.8392797e+01	2.1203843e-01 
2.8492797e+01	2.1203843e-01 
2.8592797e+01	2.1203843e-01 
2.8692797e+01	2.1203843e-01 
2.8792797e+01	2.1203843e-01 
2.8892797e+01	2.1203843e-01 
2.8992797e+01	2.1203843e-01 
2.9092797e+01	2.1203843e-01 
2.9192797e+01	2.1203843e-01 
2.9292797e+01	2.1203843e-01 
2.9392797e+01	2.1203843e-01 
2.9492797e+01	2.1203843e-01 
2.9592797e+01	2.1203843e-01 
2.9692797e+01	2.1203843e-01 
2.9792797e+01	2.1203843e-01 
2.9892797e+01	2.1203843e-01 
2.9992797e+01	2.2186951e-01 
3.0092797e+01	2.3500960e-01 
3.0192797e+01	2.3500960e-01 
3.0292797e+01	2.3500960e-01 
3.0392797e+01	2.3500960e-01 
3.0492797e+01	2.3500960e-01 
3.0592797e+01	2.3500960e-01 
3.0692797e+01	2.3500960e-01 
3.0792797e+01	2.3500960e-01 
3.0892797e+01	2.3500960e-01 
3.0992797e+01	2.3500960e-01 
3.1092797e+01	2.3500960e-01 
3.1192797e+01	2.3500960e-01 
3.1292797e+01	2.3500960e-01 
3.1392797e+01	2.3500960e-01 
3.1492797e+01	2.3500960e-01 
3.1592797e+01	2.3500960e-01 
3.1692797e+01	2.3500960e-01 
3.1792797e+01	2.3500960e-01 
3.1892797e+01	2.3500960e-01 
3.1992797e+01	2.3500960e-01 
3.2092797e+01	2.3500960e-01 
3.2192797e+01	2.3500960e-01 
3.2292797e+01	2.3500960e-01 
3.2392797e+01	2.3500960e-01 
3.2492797e+01	2.3500960e-01 
3.2592797e+01	2.3500960e-01 
3.2692797e+01	2.3500960e-01 
3.2792797e+01	2.3500960e-01 
3.2892797e+01	2.3500960e-01 
3.2992797e+01	2.3500960e-01 
3.3092797e+01	2.3500960e-01 
3.3192797e+01	2.3500960e-01 
3.3292797e+01	2.3500960e-01 
3.3392797e+01	2.3500960e-01 
3.3492797e+01	2.3500960e-01 
3.3592797e+01	2.3500960e-01 
3.3692797e+01	2.3500960e-01 
3.3792797e+01	2.3500960e-01 
3.3892797e+01	2.3500960e-01 
3.3992797e+01	2.3500960e-01 
3.4092797e+01	2.3500960e-01 
3.4192797e+01	2.3500960e-01 
3.4292797e+01	2.3500960e-01 
3.4392797e+01	2.3500960e-01 
3.4492797e+01	2.3500960e-01 
3.4592797e+01	2.3500960e-01 
3.4692797e+01	2.3500960e-01 
3.4792797e+01	2.3500960e-01 
3.4892797e+01	2.3500960e-01 
3.4992797e+01	2.3500960e-01 
3.5092797e+01	2.3500960e-01 
3.5192797e+01	2.3500960e-01 
3.5292797e+01	2.3500960e-01 
3.5392797e+01	2.3500960e-01 
3.5492797e+01	2.3500960e-01 
3.5592797e+01	2.3500960e-01 
3.5692797e+01	2.3500960e-01 
3.5792797e+01	2.3500960e-01 
3.5892797e+01	2.3500960e-01 
3.5992797e+01	2.3500960e-01 
3.6092797e+01	2.3500960e-01 
3.6192797e+01	2.3500960e-01 
3.6292797e+01	2.3500960e-01 
3.6392797e+01	2.3500960e-01 
3.6492797e+01	2.3500960e-01 
3.6592797e+01	2.3500960e-01 
3.6692797e+01	2.3500960e-01 
3.6792797e+01	2.3500960e-01 
3.6892797e+01	2.3500960e-01 
3.6992797e+01	2.3500960e-01 
3.7092797e+01	2.3500960e-01 
3.7192797e+01	2.3500960e-01 
3.7292797e+01	2.3500960e-01 
3.7392797e+01	2.3500960e-01 
3.7492797e+01	2.3500960e-01 
3.7592797e+01	2.3500960e-01 
3.7692797e+01	2.3500960e-01 
3.7792797e+01	2.3500960e-01 
3.7892797e+01	2.3500960e-01 
3.7992797e+01	2.3500960e-01 
3.8092797e+01	2.3500960e-01 
3.8192797e+01	2.3500960e-01 
3.8292797e+01	2.3500960e-01 
3.8392797e+01	2.3500960e-01 
3.8492797e+01	2.3500960e-01 
3.8592797e+01	2.3500960e-01 
3.8692797e+01	2.3500960e-01 
3.8792797e+01	2.3500960e-01 
3.8892797e+01	2.3500960e-01 
3.8992797e+01	2.3500960e-01 
3.9092797e+01	2.3500960e-01 
